HOM1-2-D,vWA,N/A,N/A,0.12,0.03,0.02,0.02,0.02,0.02
HOM1-2-D,TH01,N/A,N/A,0.12,0.02,0.02,0.02,0.02,0.02
HOM1-2-D,D21,N/A,N/A,0.24,0.02,0.02,0.02,0.02,0.02
HOM1-2-D,D13,N/A,N/A,0.05,0.02,0.02,0.02,0.02,0.02
HOM1-2-D,TPOX,N/A,N/A,0.22,0.08,0.08,0.03,0.02,0.02
HOM1-2-D,D7,N/A,N/A,0.27,0.12,0.02,0.02,0.02,0.02
HOM1-2-D,D16,N/A,N/A,0.22,0.11,0.02,0.02,0.02,0.02
HOM1-2-D,FGA,N/A,N/A,0.19,0.02,0.02,0.19,0.02,0.02
HOM1-2-D,D18,N/A,N/A,0.27,0.19,0.02,0.02,0.02,0.02
HOM1-2-D,CSF,N/A,N/A,0.29,0.12,0.06,0.02,0.02,0.02
HOM1-2-D,D2,N/A,N/A,0.16,0.06,0.04,0.02,0.02,0.02
HET1-2-ND,D8,N/A,N/A,0.26,0.07,0.05,0.05,0.05,0.05
HET1-2-ND,D21,N/A,N/A,0.32,0.14,0.05,0.05,0.05,0.05
HET1-2-ND,D7,N/A,N/A,0.41,0.17,0.05,0.05,0.05,0.05
HET1-2-ND,CSF,N/A,N/A,0.33,0.18,0.08,0.05,0.05,0.05
HET1-2-ND,D3,N/A,N/A,0.36,0.15,0.05,0.05,0.05,0.05
HET1-2-ND,TH01,N/A,N/A,0.34,0.16,0.05,0.05,0.05,0.05
HET1-2-ND,D13,N/A,N/A,0.32,0.2,0.05,0.05,0.05,0.05
HET1-2-ND,D16,N/A,N/A,0.47,0.24,0.05,0.05,0.05,0.05
HET1-2-ND,D2,N/A,N/A,0.37,0.27,0.13,0.05,0.05,0.05
HET1-2-ND,D19,N/A,N/A,0.32,0.15,0.05,0.05,0.05,0.05
HET1-2-ND,vWA,N/A,N/A,0.38,0.2,0.05,0.05,0.05,0.05
HET1-2-ND,TPOX,N/A,N/A,0.26,0.15,0.05,0.05,0.05,0.05
HET1-2-ND,D18,N/A,N/A,0.31,0.16,0.1,0.05,0.05,0.05
HET1-2-ND,D5,N/A,N/A,0.33,0.11,0.05,0.05,0.05,0.05
HET1-2-ND,FGA,N/A,N/A,0.31,0.18,0.05,0.05,0.05,0.05
HET2-2-ND,D8,N/A,N/A,0.03,0.02,0.02,0.02,0.02,0.02
HET2-2-ND,D21,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HET2-2-ND,D7,N/A,N/A,0.05,0.02,0.02,0.02,0.02,0.02
HET2-2-ND,CSF,N/A,N/A,0.08,0.06,0.02,0.02,0.02,0.02
HET2-2-ND,D3,N/A,N/A,0.04,0.02,0.02,0.02,0.02,0.02
HET2-2-ND,TH01,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HET2-2-ND,D13,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
